3056	107	4	33.4
1384	14	4	8.5
86	116	6	4.92
1813	112	3	20.37
106	515	3	8.89
101	224	32	148.58
1257	2355	3	47.98
108	928	7	49.19
109	255	14	75.03
105	362	3	6.34
183	108	3	4.06
133	124	5	12.69
125	119	5	6.84
447	676	4	47.86
968	12	7	18.22
105	4000	4	35.74
1966	482	3	41.17
539	14	11	27.05
951	163	3	27.79
676	14	7	13.61
102	572	5	15.51
104	1799	3	14.17
2261	3262	3	54.75
12	1630	3	5.59
119	464	3	14.79
114	115	8	6.58
366	122	4	21.34
104	4396	4	33.95
17	3859	4	52.77
106	312	3	5.63
101	2333	4	21.81
1060	222	3	31.15
4705	102	4	31.45
12	1171	4	6.82
103	5790	3	24.93
739	308	8	103.92
811	214	3	29.55
102	1778	4	19.28
118	131	26	129.04
340	246	3	24.95
130	153	3	9.51
101	1807	5	26.86
935	369	4	49.23
228	305	3	23.28
6967	14	3	16.5
1197	102	4	16.49
12	485	27	131.73
189	178	3	16.82
12	156	30	34.12
102	830	4	13.42
1039	103	3	10.73
204	113	4	11.08
1033	450	4	51.56
893	110	3	15.76
382	12	7	6.11
1344	14	3	4.66
236	14	26	57.26
4307	3506	4	87.41
8	206	6	12.46
108	4867	3	29.91
998	1224	5	78.74
1368	12	3	4.44
249	2659	3	38.51
2638	105	5	39.29
2434	9	3	19.57
102	2589	4	23.89
121	287	4	18.69
101	2059	5	28.6
102	609	3	6.57
5674	2652	3	62.72
12	2806	3	8.32
198	2034	3	34.09
1121	14	4	7.14
127	112	30	121.29
110	849	6	40.19
154	110	4	6.58
107	286	4	10.69
158	2851	3	34.23
102	4302	4	31.45
121	2727	4	39.3
312	101	21	98.37
2777	12	3	8.32
256	113	5	19.2
1506	12	3	4.97
104	6624	3	25.46
102	3616	4	26.49
119	2277	3	24.58
1674	107	4	26.1
417	167	10	102.55
647	14	5	6.16
574	112	4	20.93
6464	14	3	16.5
12	1729	5	15.22
102	1174	5	22.31
5822	12	3	16.22
1611	8	4	22.63
226	327	20	246.63
191	2080	3	33.76
104	2158	4	24.47
108	2439	4	32.27
101	1212	3	10.3
1468	101	8	52.58
110	338	3	9.62
4593	12	3	11.86
2464	2467	5	102.48
225	9	5	10.89
3465	102	4	26.49
108	2095	4	30.36
216	1575	7	94.03
9	13	15	33.57
169	2810	3	34.67
12	653	18	77.02
1485	14	4	9.33
108	1840	5	39.31
285	125	6	35.68
102	108	298	1147.7
2096	9	3	18.34
101	1398	6	31.92
251	12	26	59.4
3414	340	3	42.41
1167	2602	3	48.68
3730	534	4	70.09
12	3199	4	16.76
271	107	4	10.04
109	298	8	36.85
915	12	6	12.65
172	684	3	26.46
849	14	4	5.16
929	128	3	22.09
105	205	12	39.74
1405	14	4	8.5
1103	104	7	41.64
331	12	10	10.88
102	1248	4	16.49
3778	988	4	75.02
662	103	4	13.33
950	12	4	5.75
102	1554	3	11.65
110	1232	5	35.55
578	8	3	9.35
432	101	4	8.05
12	3250	5	27.03
153	1603	5	55.66
672	381	8	107.21
1005	169	3	28.45
1079	107	12	108.2
4500	104	3	20.99
582	14	5	5.44
680	135	3	21.47
2804	14	3	8.57
148	120	5	14.61
126	318	4	21.7
391	223	6	59.2
159	1059	4	40.02
122	1020	3	20.87
110	1022	3	16.63
136	242	3	14.71
238	111	7	28.61
136	102	12	8.24
112	1350	5	37.86
128	131	5	13.56
12	1606	3	4.97
2857	12	4	14.26
114	1016	3	18.3
314	597	3	30.8
477	12	6	5.74
1445	9	3	15.75
120	445	4	22.84
12	1141	5	10.82
104	411	25	173.36
12	1351	3	4.44
104	351	3	4.97
149	103	7	5.4
1620	124	3	24.19
371	12	7	5.57
103	1397	3	12.29
8	593	5	21.26
1954	14	3	6.57
1287	474	6	87.1
1301	14	4	8.5
12	4735	3	11.86
12	2885	3	8.32
104	1253	3	12.22
4325	1962	3	55.96
404	12	7	6.7
102	4325	3	19.13
105	3153	3	20.12
1390	12	4	8.17
164	101	9	10.44
102	4400	4	31.45
108	1444	6	46.42
259	112	4	13.28
101	2284	3	14.04
122	3211	3	28.64
615	858	4	52.62
101	746	9	44.44
102	1976	3	13.2
130	536	3	19.87
