1876	1
289	2
1552	3
168	4
1193	5
254	6
982	7
78	8
176	9
522	10
732	11
458	12
8	13
157	14
75	15
102	16
557	17
138	18
1624	19
580	20
223	21
2212	22
754	23
1381	24
1680	25
1085	26
2275	27
114	28
113	29
964	30
21	31
21	32
495	33
415	34
1630	35
1504	36
4	37
920	38
13	39
2110	40
1047	41
280	42
142	43
876	44
267	45
1130	46
426	47
92	48
152	49
921	50
297	51
2170	52
411	53
1634	54
1179	55
2466	56
1885	57
144	58
908	59
75	60
161	61
75	62
75	63
468	64
2241	65
181	66
196	67
32	68
1062	69
2141	70
2142	71
1282	72
2143	73
2144	74
2013	75
819	76
352	77
611	78
611	79
61	80
198	81
1823	82
992	83
748	84
804	85
6	86
1349	87
295	88
3019	89
2471	90
887	91
29	92
59	93
227	94
22	95
180	96
1	97
3013	98
16	99
353	100
1654	101
44	102
1168	103
483	104
563	105
85	106
85	107
85	108
541	109
1185	110
972	111
1877	112
771	113
1317	114
456	115
1813	116
246	117
107	118
3067	119
996	120
1219	121
208	122
1168	123
204	124
2238	125
2	126
196	127
1750	128
628	129
227	130
1230	131
1860	132
2383	133
2490	134
356	135
9	136
2340	137
456	138
1799	139
2710	140
897	141
1912	142
2182	143
2603	144
315	145
1369	146
1411	147
395	148
65	149
931	150
19	151
492	152
492	153
492	154
1178	155
2283	156
2388	157
1202	158
1901	159
1889	160
403	161
772	162
1123	163
86	164
563	165
311	166
115	167
904	168
2321	169
1678	170
278	171
80	172
636	173
1871	174
1550	175
911	176
832	177
1246	178
95	179
521	180
771	181
2251	182
1231	183
1342	184
263	185
263	186
360	187
2762	188
320	189
2480	190
2544	191
1105	192
2	193
240	194
1352	195
49	196
411	197
119	198
1045	199
54	200
32	201
730	202
7	203
495	204
835	205
377	206
74	207
137	208
28	209
386	210
94	211
1537	212
21	213
511	214
1836	215
511	216
1793	217
1077	218
262	219
2303	220
445	221
1197	222
163	223
1570	224
346	225
22	226
47	227
1600	228
380	229
151	230
74	231
1709	232
389	233
75	234
1241	235
837	236
2489	237
198	238
695	239
940	240
538	241
1157	242
1610	243
355	244
405	245
1572	246
988	247
524	248
817	249
467	250
195	251
1849	252
1091	253
1101	254
518	255
406	256
192	257
774	258
663	259
1316	260
1321	261
1000	262
1186	263
20	264
2986	265
486	266
1205	267
1004	268
2597	269
127	270
148	271
358	272
68	273
1805	274
99	275
673	276
503	277
1717	278
710	279
131	280
525	281
536	282
242	283
