34752	5037	1
2900	7371	16
102	8011	2
7761	2680	0
291	997	20
5061	2778	0
9974	5542	15
109	1149	0
14	1262	16
114	7530	6
536	5642	35
24851	5844	3
12019	8212	4
1613	7817	24
44936	7804	1
10412	7770	6
264	3535	0
156	3256	13
109	1722	0
29909	4874	24
909	5791	3
3154	9756	6
197	2467	5
12	6340	9
39032	6176	13
13030	7020	7
37838	7846	4
299	5558	12
14	8744	11
2238	8381	1
923	2402	3
102	4451	5
104	2497	4
12	4517	14
12102	1704	7
12	7498	9
7959	757	5
12	5739	12
20148	7301	0
38071	1422	8
3437	6713	1
2777	9645	17
33914	678	21
14	6052	12
32968	9443	9
102	9455	2
17318	370	1
40437	9858	6
112	8363	2
142	2663	2
41428	1300	25
13	6423	4
14	1232	41
101	4587	20
12028	2767	14
142	6223	0
1209	8165	0
109	820	0
122	2448	11
5032	4343	3
1653	2955	4
116	3567	5
28219	3192	8
112	8648	8
106	7219	22
104	6017	3
15365	4109	9
3130	3837	6
43130	388	27
1223	2842	13
102	1603	17
859	1494	7
116	9444	5
669	3755	6
14	5254	16
14	8879	9
125	1370	3
17883	3753	0
30269	8106	5
101	4461	2
101	8559	5
24866	9790	7
7633	795	0
44226	7496	2
7698	7275	18
177	996	9
17347	746	10
689	7239	0
14	7848	5
14	2282	15
13878	8758	3
14	6502	7
108	4337	2
12	9098	5
12	9284	7
12	1482	8
12	5000	2
22854	428	3
405	5116	9
44258	87	4
25169	3725	3
160	4330	28
9928	4341	6
26464	5486	4
825	605	5
12	1842	37
9083	4883	7
132	5368	0
9871	5907	1
110	1012	16
6001	9238	14
9	690	21
278	6173	1
4147	9758	29
12	6191	17
329	2642	29
1118	723	8
150	3799	15
3951	4413	2
1544	6449	10
101	2541	3
35716	4680	7
38555	4867	11
2705	266	5
168	4752	4
353	3411	1
14	3555	13
11338	9933	15
1048	7671	6
192	86	42
1813	8181	5
38683	3819	7
134	4634	6
451	4288	11
104	1476	15
723	6499	7
14094	7811	6
1515	7253	5
333	4536	1
179	4518	10
121	4695	4
12	2566	7
248	1224	14
485	2894	4
44459	8208	13
3755	9216	2
104	8224	8
14	7563	13
6987	3149	12
179	2223	13
44903	423	21
3690	8005	21
1873	1509	14
25356	1917	13
44374	2507	7
14	5229	8
13852	7350	17
6731	8321	17
106	9311	6
282	5427	1
27266	9297	7
10256	8475	2
14	1213	39
101	8289	1
20604	367	1
130	2860	27
